"tr","Espece","Classe","Etat","Voie","Date","Heure","cat"
"T02",NA,"Oiseaux",NA,"Gazon","03/06/2025","06:31:02",0
"T02",NA,"Mammifères",NA,"Accotement","22/07/2025","05:40:52",0
"T02",NA,"Oiseaux","Ecrase","Accotement","22/07/2025","05:46:16",0
"T02",NA,"Anoures","Ecrase","Accotement","22/07/2025","05:55:26",0
"T28","Felis catus","Mammifères",NA,NA,"09/06/2025","06:46:27",0
"T28",NA,"Oiseaux",NA,NA,"09/06/2025","06:50:13",0
"T01",NA,"Mammifères","Morceaux",NA,"09/06/2025","07:55:19",2
"T61",NA,"Mammifères","Morceaux",NA,"01/07/2025","08:59:24",2
"T65",NA,"Anoures",NA,NA,"01/07/2025","06:52:31",1
"T65","Procyon lotor","Mammifères",NA,NA,"01/07/2025","07:20:40",1
"T09","Procyon lotor","Mammifères",NA,NA,"07/07/2025","07:59:55",0
"T09",NA,"Mammifères","Morceaux","Accotement","07/07/2025","07:42:45",0
"T09",NA,"Oiseaux",NA,"Gazon","12/08/2025","05:32:27",0
"T09","Procyon lotor","Mammifères","Decompose",NA,"12/08/2025","06:13",0
"T15",NA,"Anoures","","Accotement","08/07/2025","05:52:36",0
"T15",NA,"Mammifères","Morceaux",NA,"12/08/2025","07:50:00",0
"T15",NA,"Mammifères",NA,"Droite","12/08/2025","08:05:07",0
"T15","Storeria occipitomaculata","Reptiles","Morceaux","Gazon","12/08/2025","08:21:18",0
"T15",NA,"Oiseaux",NA,"Gazon","12/08/2025","08:27:52",0
"T15","Storeria occipitomaculata","Reptiles",NA,"Gazon","12/08/2025","07:55:20",0
"T15","Storeria occipitomaculata","Reptiles",NA,"Gazon","12/08/2025","08:21:18",0
"T15",NA,"Mammifères","Ecrase","Accotement","08/07/2025","06:35:27",0
"T22",NA,"Anoures","Ecrase","Accotement","13/08/2025","08:22:17",2
"T22",NA,"Indéterminés","Morceaux","","13/08/2025","08:26:28",2
"T22","Sciurus carolinensis","Mammifères",NA,"Droite","13/08/2025","08:31:49",2
"T22",NA,"Indéterminés",NA,"Milieu","14/07/2025","08:34:44",2
"T22",NA,"Oiseaux",NA,NA,"14/07/2025","08:41:00",2
"T22",NA,"Oiseaux",NA,NA,"14/07/2025","08:41:53",2
"T22",NA,"Oiseaux",NA,NA,"14/07/2025","08:54:48",2
"T22",NA,"Mammifères","Morceaux",NA,"14/07/2025","08:57:27",2
"T22",NA,"Oiseaux","Morceaux","Accotement","13/08/2025","08:03:37",2
"T22",NA,"Oiseaux","Morceaux","Accotement","13/08/2025","08:06:37",2
"T22","Procyon lotor","Mammifères","Ecrase",NA,"13/08/2025","08:09:55",2
"T22",NA,"Oiseaux","Morceaux","Accotement","13/08/2025","08:14:29",2
"T22",NA,"Oiseaux",NA,"Accotement","13/08/2025","08:15:34",2
"T22","Procyon lotor","Mammifères","Decompose",NA,"14/07/2025","08:37:41",2
"T22",NA,"Mammifères","Morceaux","Gazon","13/08/2025","08:41:55",2
"T22",NA,"Anoures","Ecrase","Accotement","13/08/2025","07:45:51",2
"T22",NA,"Oiseaux",NA,"Accotement","13/08/2025","08:33:06",2
"T22",NA,"Oiseaux",NA,"Accotement","13/08/2025","08:34:30",2
"T22","Thamnophis sirtalis","Reptiles","Ecrase","Accotement","13/08/2025","07:50:23",2
"T45",NA,"Mammifères","Ecrase",NA,"14/07/2025","10:10:17",2
"T45",NA,"Anoures",NA,NA,"14/07/2025","10:01:21",2
"T45",NA,"Mammifères",NA,NA,"14/07/2025","09:46:58",2
"T45",NA,"Oiseaux","Ecrase",NA,"14/07/2025","09:50:37",2
"T45",NA,"Mammifères",NA,NA,"13/08/2025","09:39:11",2
"T45",NA,"Anoures",NA,NA,"14/07/2025","10:03:20",2
"T45",NA,"Anoures",NA,NA,"14/07/2025","10:04:51",2
"T45","Procyon lotor","Mammifères",NA,NA,"13/08/2025","10:03:17",2
"T45","Marmota monax","Mammifères","Ecrase",NA,"13/08/2025","10:04:48",2
"T45",NA,"Anoures",NA,NA,"13/08/2025","09:56:29",2
"T45",NA,"Indéterminés",NA,NA,"13/08/2025","09:57:42",2
"T45",NA,"Mammifères","Morceaux","Accotement","13/08/2025","10:10:16",2
"T45","Marmota monax","Mammifères","Ecrase",NA,"13/08/2025","10:05:53",2
"T45",NA,"Mammifères","Morceaux","Accotement","13/08/2025","10:07:52",2
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:09:46",1
"T59","Lithobates clamitans","Anoures",NA,NA,"14/07/2025","06:06:30",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:31:27",1
"T59","Lithobates pipiens","Anoures",NA,NA,"14/07/2025","06:32:25",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:12:16",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:30:08",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:22:30",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:23:50",1
"T59","Spinus tristis","Oiseaux",NA,NA,"14/07/2025","07:24:41",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:35:04",1
"T59","Lithobates pipiens","Anoures",NA,NA,"14/07/2025","06:12:39",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:14:18",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:16:19",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:17:39",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:19:18",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:21:12",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","06:22:27",1
"T59","Chelydra serpentina","Reptiles",NA,"Gravier","14/07/2025","06:24:15",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:28:36",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:54:54",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:56:22",1
"T59",NA,"Oiseaux",NA,"Accotement","13/08/2025","06:59:22",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","07:25:11",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:25:31",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:26:55",1
"T59","Marmota monax","Mammifères",NA,NA,"14/07/2025","07:27:33",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","07:28:36",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:30:16",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:30:37",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:30:59",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:31:39",1
"T59","Lithobates pipiens","Anoures","Ecrase","Accotement","13/08/2025","06:52:27",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:56:02",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:58:23",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","07:01:55",1
"T59",NA,"Anoures",NA,"Accotement","13/08/2025","07:00:07",1
"T59",NA,"Mammifères","Ecrase","Gauche","13/08/2025","07:01:48",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:37:26",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:11:31",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:15:43",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:16:09",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:17:28",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:20:00",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:20:26",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","07:21:00",1
"T59","Lithobates pipiens","Anoures",NA,NA,"14/07/2025","07:21:56",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:38:10",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:39:31",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:39:31",1
"T59",NA,"Anoures",NA,"Accotement","13/08/2025","06:40:37",1
"T59",NA,"Anoures","Morceaux","Accotement","13/08/2025","06:42:28",1
"T59","Lithobates pipiens","Anoures",NA,"Accotement","13/08/2025","06:44:19",1
"T59",NA,"Anoures",NA,"Accotement","13/08/2025","06:45:18",1
"T59",NA,"Anoures",NA,"Accotement","13/08/2025","06:46:31",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:47:51",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:49:03",1
"T59",NA,"Anoures",NA,"Accotement","13/08/2025","06:50:02",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:51:19",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:55:03",1
"T59",NA,"Anoures",NA,"Accotement","13/08/2025","05:54:24",1
"T59",NA,"Anoures","Ecrase","Droite","13/08/2025","05:59:27",1
"T59",NA,"Anoures","Ecrase","Droite","13/08/2025","06:09:08",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","07:07:10",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","07:09:13",1
"T59",NA,"Mammifères",NA,NA,"13/08/2025","07:03:27",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:42:10",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:43:24",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","06:45:10",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:46:41",1
"T59",NA,"Anoures",NA,NA,"14/07/2025","06:48:21",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","06:50:42",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:36:05",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:37:08",1
"T59",NA,"Oiseaux",NA,NA,"14/07/2025","07:10:03",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:17:22",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:28:03",1
"T59",NA,"Anoures","Ecrase","Droite","13/08/2025","06:11:26",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:31:10",1
"T59","Lithobates pipiens","Anoures","Ecrase","Gauche","13/08/2025","06:32:08",1
"T59",NA,"Anoures","Ecrase","Gauche","13/08/2025","06:34:26",1
"T59",NA,"Anoures","Ecrase","Accotement","13/08/2025","06:29:32",1
"T59",NA,"Anoures","Ecrase","Droite","13/08/2025","06:12:59",1
"T59",NA,"Anoures",NA,"Milieu","13/08/2025","06:16:33",1
"T26",NA,"Mammifères",NA,NA,"17/07/2025","07:20",0
"T48",NA,"Mammifères",NA,NA,"17/07/2025","09:15:01",1
"T48",NA,"Indéterminés",NA,NA,"17/07/2025","09:04:21",1
"T48",NA,"Mammifères",NA,NA,"17/07/2025","09:19:05",1
"T41",NA,"Mammifères","Ecrase","Accotement","18/07/2025","06:06:26",2
"T42",NA,"Mammifères","Morceaux","Accotement","18/07/2025","07:52:21",2
"T42","Procyon lotor","Mammifères","Decompose","Droite","18/07/2025","07:45:12",2
"T42",NA,"Mammifères","Morceaux",NA,"18/07/2025","07:58:05",2
"T42",NA,"Anoures",NA,"Stationnement","18/07/2025","08:23:34",2
"T42",NA,"Mammifères","Morceaux","Accotement","18/07/2025","08:37:30",2
"T42",NA,"Reptiles",NA,"Accotement","18/07/2025","07:56:44",2
"T42","Chrysemys picta","Reptiles","Morceaux","Accotement","18/07/2025","07:38:40",2
"T42","Chrysemys picta","Reptiles","Morceaux",NA,"18/07/2025","09:00:00",2
"T39","Thamnophis sirtalis","Reptiles","Ecrase","Accotement","21/07/2025","06:21:58",1
"T14",NA,"Mammifères","Seche","Accotement","21/07/2025","07:44:39",0
"T14","Ondatra zibethicus","Mammifères",NA,"Accotement","21/07/2025","07:23:45",0
"T14",NA,"Mammifères","Ecrase","Accotement","21/07/2025","07:47:12",0
"T49",NA,"Reptiles","Morceaux",NA,"28/07/2025","08:47:44",2
"T49","Thamnophis sirtalis","Reptiles",NA,"Droite","28/07/2025","07:53:46",2
"T49",NA,"Indéterminés","Seche",NA,"28/07/2025","08:23:22",2
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","07:16:22",1
"T35","Procyon lotor","Mammifères","Morceaux",NA,"30/07/2025","07:18:34",1
"T35",NA,"Anoures",NA,"Accotement","30/07/2025","07:23:34",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","07:25:37",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","07:27:58",1
"T35",NA,"Anoures",NA,"Accotement","30/07/2025","07:41:41",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","07:42:45",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","07:44:09",1
"T35","Cardinalis cardinalis","Oiseaux","Ecrase","Accotement","30/07/2025","07:45:35",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","07:47:36",1
"T35",NA,"Indéterminés",NA,"Accotement","30/07/2025","07:56:29",1
