"tr","cat","taxon_id","obs","group","method"
"T01",2,NA,0,NA,"gopro"
"T02",0,NA,0,NA,"gopro"
"T03",0,NA,0,NA,"gopro"
"T09",0,NA,0,NA,"gopro"
"T14",0,NA,0,NA,"gopro"
"T15",0,NA,0,NA,"gopro"
"T20",0,NA,0,NA,"gopro"
"T22",2,NA,0,NA,"gopro"
"T25",1,NA,0,NA,"gopro"
"T26",0,NA,0,NA,"gopro"
"T28",0,NA,0,NA,"gopro"
"T30",0,NA,0,NA,"gopro"
"T31",1,NA,0,NA,"gopro"
"T35",1,NA,0,NA,"gopro"
"T36",2,NA,0,NA,"gopro"
"T39",1,NA,0,NA,"gopro"
"T40",2,"marmota_monax",1,"mammalia","gopro"
"T41",2,"mephitis_mephitis",1,"mammalia","gopro"
"T42",2,NA,0,NA,"gopro"
"T45",2,"procyon_lotor",1,"mammalia","gopro"
"T47",2,NA,0,NA,"gopro"
"T48",1,NA,0,NA,"gopro"
"T49",2,NA,0,NA,"gopro"
"T52",2,"mephitis_mephitis",1,"mammalia","gopro"
"T53",1,NA,0,NA,"gopro"
"T57",2,NA,0,NA,"gopro"
"T59",1,"mammalia",1,"mammalia","gopro"
"T61",2,NA,0,NA,"gopro"
"T62",1,NA,0,NA,"gopro"
"T65",1,"procyon_lotor",1,"mammalia","gopro"
