"tr","rang_id","class","order","family","genus","species","condition","loc","size","date","hour","method","tr_id"
"T01_E","classe","Mammifères","carnivora","procyonidae","procyon",NA,"morceaux",NA,"moyen",2025-06-09,"07:55:19","P","20250609_T01_E_P"
"T02","classe","Mammifères",NA,NA,NA,NA,NA,"accotement_gauche","petit",2025-07-22,"05:40:52","P","20250722_T02_P"
"T02","classe","Oiseaux",NA,NA,NA,NA,NA,"gazon","petit",2025-06-03,"06:31:02","P","20250603_T02_P"
"T02","classe","Oiseaux",NA,NA,NA,NA,"ecrase","accotement","petit",2025-07-22,"05:46:16","P","20250722_T02_P"
"T02","ordre","Amphibiens","anura",NA,NA,NA,"ecrase","accotement","petit",2025-07-22,"05:55:26","P","20250722_T02_P"
"T03_E","classe","Oiseaux",NA,NA,NA,NA,NA,"accotement","petit",2025-08-12,"06:54:11","P","20250812_T03_E_P"
"T09_O","espece","Mammifères","carnivora","procyonidae","procyon",NA,NA,NA,"moyen",2025-07-07,"07:59:55","P","20250707_T09_O_P"
"T09_O","classe","Mammifères",NA,NA,NA,NA,"morceaux","accotement","moyen",2025-07-07,"07:42:45","P","20250707_T09_O_P"
"T09_O","classe","Oiseaux",NA,NA,NA,NA,NA,"gazon","moyen",2025-08-12,"05:32:27","P","20250812_T09_O_P"
"T09_O","espece","Mammifères","carnivora","procyonidae","procyon",NA,"decompose",NA,"moyen",2025-08-12,"06:13:00","P","20250812_T09_O_P"
"T14_E","espece","Mammifères","rodentia","cricetidae","ondatra",NA,NA,"accotement","petit",2025-07-21,"07:23:45","P","20250721_T14_E_P"
"T14_E","classe","Mammifères",NA,NA,NA,NA,"seche","accotement","petit",2025-07-21,"07:44:39","P","20250721_T14_E_P"
"T14_E","classe","Mammifères",NA,NA,NA,NA,"ecrase","accotement","moyen",2025-07-21,"07:47:12","P","20250721_T14_E_P"
"T15_O","ordre","Amphibiens","anura",NA,NA,NA,NA,"accotement","petit",2025-07-08,"05:52:36","P","20250708_T15_O_P"
"T15_O","classe","Mammifères",NA,NA,NA,NA,"ecrase","accotement","moyen",2025-07-08,"06:35:27","P","20250708_T15_O_P"
"T15_O","classe","Mammifères",NA,NA,NA,NA,"morceaux",NA,"petit",2025-08-12,"07:50:00","P","20250812_T15_O_P"
"T15_O","classe","Mammifères",NA,NA,NA,NA,NA,"droite","petit",2025-08-12,"08:05:07","P","20250812_T15_O_P"
"T15_O","espece","Reptiles","squamata","natricidae","storeria",NA,NA,"gazon","petit",2025-08-12,"07:55:20","P","20250812_T15_O_P"
"T15_O","espece","Reptiles","squamata","natricidae","storeria",NA,NA,"gazon","petit",2025-08-12,"08:21:18","P","20250812_T15_O_P"
