"tr","cat","type","date1","heure1","date2","heure2","conso","jour_pred","mois_pred","heure_pred","id_pred","tps_pred_h","tps_test"
"T02",1,"Secondaire","2025-06-03","05:56:00","2025-06-04","11:39:00",1,"3","6","07:16:00","IND",1.33333333333333,29.7166666666667
"T25",0,"Aut2voies","2025-06-04","20:18:22","2025-06-05","20:38:00",0,NA,NA,NA,NA,NA,24.3272222222222
"T02",1,"Secondaire","2025-06-04","20:53:55","2025-06-05","18:08:00",1,"5","6","12:22:00","IND",15.4680555555556,21.2347222222222
"T28",0,"Secondaire","2025-06-09","05:26:41","2025-06-10","07:59:00",0,NA,NA,NA,NA,NA,26.5386111111111
"T01",1,"Aut2voies","2025-06-09","05:52:28","2025-06-10","08:17:00",0,NA,NA,NA,NA,NA,26.4088888888889
"T01",1,"Aut2voies","2025-06-11","20:20:34","2025-06-12","20:44:00",0,NA,NA,NA,NA,NA,24.3905555555556
"T28",0,"Secondaire","2025-06-11","20:50:18","2025-06-12","21:03:00",0,NA,NA,NA,NA,NA,24.2116666666667
"T57",2,"Secondaire","2025-06-16","05:32:54","2025-06-17","14:34:00",0,NA,NA,NA,NA,NA,33.0183333333333
"T20",0,"Aut3voies","2025-06-16","05:14:00","2025-06-17","14:18:00",1,NA,NA,NA,"IND",NA,33.0666666666667
"T20",0,"Aut3voies","2025-06-18","20:02:33","2025-06-19","20:08:00",1,NA,NA,NA,"IND",NA,24.0908333333333
"T57",2,"Secondaire","2025-06-18","20:27:56","2025-06-19","20:29:00",0,NA,NA,NA,NA,NA,24.0177777777778
"T35",1,"Secondaire","2025-06-25","05:26:39","2025-06-26","15:08:00",1,"25","6","15:24:00","IND",9.95583333333333,33.6891666666667
"T36",1,"Secondaire","2025-06-25","05:53:50","2025-06-26","14:30:00",0,NA,NA,NA,NA,NA,32.6027777777778
"T26",0,"Aut3voies","2025-06-25","20:04:38","2025-06-26","19:54:00",0,NA,NA,NA,NA,NA,23.8227777777778
"T48",2,"Aut2voies","2025-06-25","20:37:53","2025-06-26","20:39:00",0,NA,NA,NA,NA,NA,24.0186111111111
