"tr","protocol","date","debut","fin","visit"
"T25","Pied","2025-06-02",2025-06-02 07:53:00,2025-06-02 08:40:00,"T25_2025-06-02_Pied"
"T25","GoPro","2025-06-02",2025-06-02 06:05:00,2025-06-02 06:17:00,"T25_2025-06-02_GoPro"
"T26","Pied","2025-06-02",2025-06-02 06:30:00,2025-06-02 07:00:00,"T26_2025-06-02_Pied"
"T26","GoPro","2025-06-02",2025-06-02 05:30:00,2025-06-02 05:48:00,"T26_2025-06-02_GoPro"
"T48","Pied","2025-06-02",2025-06-02 07:10:00,2025-06-02 07:44:00,"T48_2025-06-02_Pied"
"T48","GoPro","2025-06-02",2025-06-02 05:57:00,2025-06-02 06:25:00,"T48_2025-06-02_GoPro"
"T02","GoPro","2025-06-03",2025-06-03 06:50:00,2025-06-03 06:55:00,"T02_2025-06-03_GoPro"
"T02","Pied","2025-06-03",2025-06-03 06:00:00,2025-06-03 06:40:00,"T02_2025-06-03_Pied"
"T14","Pied","2025-06-03",2025-06-03 08:32:00,2025-06-03 09:00:00,"T14_2025-06-03_Pied"
"T14","GoPro","2025-06-03",2025-06-03 07:36:00,2025-06-03 07:49:00,"T14_2025-06-03_GoPro"
"T39","Drone","2025-06-03",2025-06-03 08:00:00,2025-06-03 08:15:00,"T39_2025-06-03_Drone"
"T39","GoPro","2025-06-03",2025-06-03 07:42:00,2025-06-03 07:44:00,"T39_2025-06-03_GoPro"
"T01","Pied","2025-06-09",2025-06-09 07:26:00,2025-06-09 08:15:00,"T01_2025-06-09_Pied"
"T01","GoPro","2025-06-09",2025-06-09 06:17:00,2025-06-09 06:29:00,"T01_2025-06-09_GoPro"
"T28","Pied","2025-06-09",2025-06-09 06:35:00,2025-06-09 07:18:00,"T28_2025-06-09_Pied"
"T28","GoPro","2025-06-09",2025-06-09 06:08:00,2025-06-09 06:10:00,"T28_2025-06-09_GoPro"
"T62","Pied","2025-06-09",2025-06-09 08:22:00,2025-06-09 08:45:00,"T62_2025-06-09_Pied"
"T62","GoPro","2025-06-09",2025-06-09 06:21:00,2025-06-09 06:25:00,"T62_2025-06-09_GoPro"
"T52","GoPro","2025-06-10",2025-06-10 07:35:00,2025-06-10 07:39:00,"T52_2025-06-10_GoPro"
"T52","Pied","2025-06-10",2025-06-10 06:20:00,2025-06-10 07:00:00,"T52_2025-06-10_Pied"
"T53","GoPro","2025-06-10",2025-06-10 07:26:00,2025-06-10 07:30:00,"T53_2025-06-10_GoPro"
"T53","Pied","2025-06-10",2025-06-10 05:20:00,2025-06-10 06:06:00,"T53_2025-06-10_Pied"
"T20","Drone","2025-06-16",2025-06-16 06:15:00,2025-06-16 07:00:00,"T20_2025-06-16_Drone"
"T20","GoPro","2025-06-16",2025-06-16 05:53:00,2025-06-16 06:08:00,"T20_2025-06-16_GoPro"
"T57","Drone","2025-06-16",2025-06-16 08:20:00,2025-06-16 09:20:00,"T57_2025-06-16_Drone"
"T57","GoPro","2025-06-16",2025-06-16 07:48:00,2025-06-16 07:58:00,"T57_2025-06-16_GoPro"
"T35","Drone","2025-06-25",2025-06-25 07:33:00,2025-06-25 08:00:00,"T35_2025-06-25_Drone"
"T35","GoPro","2025-06-25",2025-06-25 07:20:00,2025-06-25 07:24:00,"T35_2025-06-25_GoPro"
"T36","Drone","2025-06-25",2025-06-25 06:30:00,2025-06-25 06:59:00,"T36_2025-06-25_Drone"
"T36","GoPro","2025-06-25",2025-06-25 06:18:00,2025-06-25 06:21:00,"T36_2025-06-25_GoPro"
"T61","Pied","2025-07-01",2025-07-01 08:20:00,2025-07-01 09:07:00,"T61_2025-07-01_Pied"
"T61","GoPro","2025-07-01",2025-07-01 07:58:00,2025-07-01 08:02:00,"T61_2025-07-01_GoPro"
"T65","Pied","2025-07-01",2025-07-01 06:37:00,2025-07-01 07:50:00,"T65_2025-07-01_Pied"
"T65","GoPro","2025-07-01",2025-07-01 06:15:00,2025-07-01 06:33:00,"T65_2025-07-01_GoPro"
"T41","GoPro","2025-07-02",2025-07-02 07:14:00,2025-07-02 07:59:00,"T41_2025-07-02_GoPro"
"T41","Drone","2025-07-02",2025-07-02 07:34:00,2025-07-02 07:45:00,"T41_2025-07-02_Drone"
"T42","GoPro","2025-07-02",2025-07-02 07:00:00,2025-07-02 07:12:00,"T42_2025-07-02_GoPro"
"T42","Drone","2025-07-02",2025-07-02 06:33:00,2025-07-02 06:42:00,"T42_2025-07-02_Drone"
"T03","Drone","2025-07-07",2025-07-07 06:23:00,2025-07-07 06:53:00,"T03_2025-07-07_Drone"
"T03","GoPro","2025-07-07",2025-07-07 06:05:00,2025-07-07 06:10:00,"T03_2025-07-07_GoPro"
"T09","Pied","2025-07-07",2025-07-07 07:28:00,2025-07-07 08:42:00,"T09_2025-07-07_Pied"
"T09","GoPro","2025-07-07",2025-07-07 07:14:00,2025-07-07 07:21:00,"T09_2025-07-07_GoPro"
"T15","Pied","2025-07-08",2025-07-08 05:36:00,2025-07-08 07:00:00,"T15_2025-07-08_Pied"
"T15","GoPro","2025-07-08",2025-07-08 05:26:00,2025-07-08 05:31:00,"T15_2025-07-08_GoPro"
"T30","Drone","2025-07-08",2025-07-08 07:26:00,2025-07-08 07:57:00,"T30_2025-07-08_Drone"
"T30","GoPro","2025-07-08",2025-07-08 07:13:00,2025-07-08 07:24:00,"T30_2025-07-08_GoPro"
"T31","Drone","2025-07-08",2025-07-08 08:20:00,2025-07-08 08:50:00,"T31_2025-07-08_Drone"
"T31","GoPro","2025-07-08",2025-07-08 08:08:00,2025-07-08 08:11:00,"T31_2025-07-08_GoPro"
"T22","GoPro","2025-07-14",2025-07-14 09:22:00,2025-07-14 09:25:00,"T22_2025-07-14_GoPro"
