"tr_glob","date","tr","sens","km","speed","method","tr_id","hm1","hm2","min","cat"
"T01",2025-06-09,"T01_E","E",1,1.3,"P","20250609_T01_E_P",2025-06-09 07:26:00,2025-06-09 08:15:00,49,2
"T01",2025-08-05,"T01_E","E",1,60,"G","20250805_T01_E_G",2025-08-05 06:17:00,2025-08-05 06:18:00,1,2
"T01",2025-08-05,"T01_O","O",1,60,"G","20250805_T01_O_G",2025-08-05 06:21:00,2025-08-05 06:22:00,1,2
"T01",2025-08-05,"T01_O",NA,0.5,7.2,"D","20250805_T01_O_D",2025-08-05 05:52:00,2025-08-05 05:56:00,4,2
"T01",2025-06-09,"T01_E","E",1,60,"G","20250609_T01_E_G",2025-06-09 06:17:00,2025-06-09 06:18:00,1,2
"T01",2025-06-09,"T01_O","O",1,60,"G","20250609_T01_O_G",2025-06-09 06:29:00,2025-06-09 06:30:00,1,2
"T02",2025-07-22,"T02","S",2,2.4,"P","20250722_T02_P",2025-07-22 05:36:00,2025-07-22 06:23:00,47,0
"T02",2025-07-22,"T02","S",1,50,"G","20250722_T02_G",2025-07-22 05:28:00,2025-07-22 05:29:00,1,0
"T02",2025-06-03,"T02","S",1,1.5,"P","20250603_T02_P",2025-06-03 06:00:00,2025-06-03 06:40:00,40,0
"T02",2025-06-03,"T02","N",1,60,"G","20250603_T02_G",2025-06-03 06:50:00,2025-06-03 06:51:00,1,0
"T02",2025-07-22,"T02","N",1,50,"G","20250722_T02_G",2025-07-22 05:23:00,2025-07-22 05:24:00,1,0
"T02",2025-06-03,"T02","S",1,60,"G","20250603_T02_G",2025-06-03 06:55:00,2025-06-03 06:56:00,1,0
"T03",2025-07-07,"T03_E",NA,0.5,7.2,"D","20250707_T03_E_D",2025-07-07 06:43:00,2025-07-07 06:47:00,4,0
"T03",2025-08-12,"T03_E","E",1,1.5,"P","20250812_T03_E_P",2025-08-12 06:41:00,2025-08-12 07:24:00,43,0
"T03",2025-07-07,"T03_O","O",1,60,"G","20250707_T03_O_G",2025-07-07 06:10:00,2025-07-07 06:11:00,1,0
"T03",2025-07-07,"T03_E","E",1,60,"G","20250707_T03_E_G",2025-07-07 06:05:00,2025-07-07 06:06:00,1,0
"T03",2025-08-12,"T03_O","O",1,60,"G","20250812_T03_O_G",2025-08-12 07:40:00,2025-08-12 07:41:00,1,0
"T03",2025-08-12,"T03_E","E",1,60,"G","20250812_T03_E_G",2025-08-12 07:36:00,2025-08-12 07:37:00,1,0
"T09",2025-07-07,"T09_O","O",1,60,"G","20250707_T09_O_G",2025-07-07 07:21:00,2025-07-07 07:22:00,1,0
"T09",2025-08-12,"T09_O","O",1,60,"G","20250812_T09_O_G",2025-08-12 06:23:00,2025-08-12 06:24:00,1,0
"T09",2025-07-07,"T09_E","E",1,60,"G","20250707_T09_E_G",2025-07-07 07:14:00,2025-07-07 07:15:00,1,0
"T09",2025-07-07,"T09_O","E",1,0.8,"P","20250707_T09_O_P",2025-07-07 07:28:00,2025-07-07 08:42:00,74,0
"T09",2025-08-12,"T09_O","E",1,1,"P","20250812_T09_O_P",2025-08-12 05:10:00,2025-08-12 06:13:00,63,0
"T09",2025-08-12,"T09_E","E",1,75,"G","20250812_T09_E_G",2025-08-12 06:18:00,2025-08-12 06:19:00,1,0
"T14",2025-07-21,"T14_E","E",1,50,"G","20250721_T14_E_G",2025-07-21 08:13:00,2025-07-21 08:14:00,1,0
"T14",2025-06-03,"T14_E","E",1,60,"G","20250603_T14_E_G",2025-06-03 07:36:00,2025-06-03 07:37:00,1,0
"T14",2025-06-03,"T14_O","O",1,60,"G","20250603_T14_O_G",2025-06-03 07:49:00,2025-06-03 07:50:00,1,0
"T14",2025-07-21,"T14_E","E",1,1.1,"P","20250721_T14_E_P",2025-07-21 07:17:00,2025-07-21 08:08:00,51,0
"T14",2025-06-03,"T14_O","O",1,2.1,"P","20250603_T14_O_P",2025-06-03 08:32:00,2025-06-03 09:00:00,28,0
"T14",2025-07-21,"T14_O","O",1,60,"G","20250721_T14_O_G",2025-07-21 08:16:00,2025-07-21 08:17:00,1,0
"T15",2025-08-12,"T15_O","O",1,60,"G","20250812_T15_O_G",2025-08-12 09:05:00,2025-08-12 09:06:00,1,0
"T15",2025-08-12,"T15_E","E",1,60,"G","20250812_T15_E_G",2025-08-12 09:11:00,2025-08-12 09:12:00,1,0
"T15",2025-08-12,"T15_O","O",1,1.3,"P","20250812_T15_O_P",2025-08-12 07:45:00,2025-08-12 08:30:00,45,0
"T15",2025-07-08,"T15_E","E",1,60,"G","20250708_T15_E_G",2025-07-08 05:31:00,2025-07-08 05:32:00,1,0
"T15",2025-07-08,"T15_O","O",1,0.7,"P","20250708_T15_O_P",2025-07-08 05:36:00,2025-07-08 07:00:00,84,0
"T15",2025-07-08,"T15_O","O",1,60,"G","20250708_T15_O_G",2025-07-08 05:26:00,2025-07-08 05:27:00,1,0
"T20",2025-06-16,"T20_O",NA,0.5,7.2,"D","20250616_T20_O_D",2025-06-16 06:37:00,2025-06-16 06:41:00,4,0
"T20",2025-06-16,"T20_E","E",1,60,"G","20250616_T20_E_G",2025-06-16 05:53:00,2025-06-16 05:54:00,1,0
"T20",2025-08-06,"T20_E",NA,0.5,7.2,"D","20250806_T20_E_D",2025-08-06 05:57:00,2025-08-06 06:03:00,6,0
"T20",2025-06-16,"T20_O","O",1,60,"G","20250616_T20_O_G",2025-06-16 06:08:00,2025-06-16 06:09:00,1,0
"T20",2025-08-06,"T20_O","O",1,60,"G","20250806_T20_O_G",2025-08-06 06:18:00,2025-08-06 06:19:00,1,0
"T20",2025-08-06,"T20_E","E",1,60,"G","20250806_T20_E_G",2025-08-06 06:14:00,2025-08-06 06:15:00,1,0
"T22",2025-08-13,"T22_E","E",1,0.8,"P","20250813_T22_E_P",2025-08-13 07:37:00,2025-08-13 08:54:00,77,2
"T22",2025-07-14,"T22_E","E",1,60,"G","20250714_T22_E_G",2025-07-14 09:25:00,2025-07-14 09:26:00,1,2
"T22",2025-08-13,"T22_E","E",1,60,"G","20250813_T22_E_G",2025-08-13 07:27:00,2025-08-13 07:28:00,1,2
"T22",2025-07-14,"T22_E","E",1,0.8,"P","20250714_T22_E_P",2025-07-14 07:58:00,2025-07-14 09:13:00,75,2
"T22",2025-07-14,"T22_O","O",1,60,"G","20250714_T22_O_G",2025-07-14 09:22:00,2025-07-14 09:23:00,1,2
"T22",2025-08-13,"T22_O","O",1,60,"G","20250813_T22_O_G",2025-08-13 07:36:00,2025-08-13 07:37:00,1,2
"T25",2025-07-22,"T25_O","O",1,60,"G","20250722_T25_O_G",2025-07-22 06:36:00,2025-07-22 06:37:00,1,1
"T25",2025-07-22,"T25_E",NA,0.5,7.2,"D","20250722_T25_E_D",2025-07-22 07:02:00,2025-07-22 07:09:00,7,1
"T25",2025-07-22,"T25_E","E",1,60,"G","20250722_T25_E_G",2025-07-22 06:33:00,2025-07-22 06:34:00,1,1
"T25",2025-06-02,"T25_E","E",1,60,"G","20250602_T25_E_G",2025-06-02 06:05:00,2025-06-02 06:06:00,1,1
"T25",2025-06-02,"T25_E","E",1,1.3,"P","20250602_T25_E_P",2025-06-02 07:53:00,2025-06-02 08:40:00,47,1
"T25",2025-06-02,"T25_O","O",1,60,"G","20250602_T25_O_G",2025-06-02 06:17:00,2025-06-02 06:18:00,1,1
"T26",2025-06-02,"T26_O","O",1,2,"P","20250602_T26_O_P",2025-06-02 06:30:00,2025-06-02 07:00:00,30,0
"T26",2025-06-02,"T26_O","O",1,60,"G","20250602_T26_O_G",2025-06-02 05:48:00,2025-06-02 05:49:00,1,0
"T26",2025-07-17,"T26_O","O",1,60,"G","20250717_T26_O_G",2025-07-17 08:10:00,2025-07-17 08:11:00,1,0
"T26",2025-07-17,"T26_E","E",1,60,"G","20250717_T26_E_G",2025-07-17 08:05:00,2025-07-17 08:06:00,1,0
"T26",2025-07-17,"T26_O","O",1,1.1,"P","20250717_T26_O_P",2025-07-17 06:30:00,2025-07-17 07:20:00,50,0
"T26",2025-06-02,"T26_E","E",1,60,"G","20250602_T26_E_G",2025-06-02 05:30:00,2025-06-02 05:31:00,1,0
"T28",2025-08-05,"T28","N",1,60,"G","20250805_T28_G",2025-08-05 07:05:00,2025-08-05 07:06:00,1,0
"T28",2025-06-09,"T28","S",1,60,"G","20250609_T28_G",2025-06-09 06:08:00,2025-06-09 06:09:00,1,0
"T28",2025-06-09,"T28","N",1,60,"G","20250609_T28_G",2025-06-09 06:10:00,2025-06-09 06:11:00,1,0
"T28",2025-06-09,"T28","S",1,1.3,"P","20250609_T28_P",2025-06-09 06:35:00,2025-06-09 07:18:00,43,0
"T28",2025-08-05,"T28",NA,0.5,7.2,"D","20250805_T28_D",2025-08-05 06:40:00,2025-08-05 06:48:00,8,0
