Date_inv;Troncons_ID;Passage_num;Distance ;Vitesse;Technique;Heure_debut;Heure_fin;Temp_air;Couv_nuage;Vent;Obs;Initiales;Nom_fichier;Commentaires;;Passage_num = pour le drone seulement, ID du passage faunique prévue de 1 à 4 ;;;;;;;;;;;;;
10/05/2024;A10_N;NA;4;3,6;Pied;06:25;09:00;5;70;;4;EB_SF;NA;EXEMPLE;;Distance = en km distance totale parcourue lors de la sortie;;;;;;;;;;;;;
04/06/2024;A10_S;4;0,5;7,2;Drone;08:00;08:10;20;30;;0;EB_SF_AF;DJI_20240604080824_0001_V_Balise1.MP4;EXEMPLE;;Secteur = R104 ou A10, nord/sud et si nécessaire préciser ne numero de passage si fait par troncon;;;;;;;;;;;;;
07/06/2024;A10_N;NA;4;75;GoPro;09:21;09:25;20;15;;1;EB_SF;GX010010.MP4;EXEMPLE;;Vitesse = km/h - approximativement, peut être toujours la même, vitesse normal piéton = 1m/s soit 3,6 km/h. Si vous allez plus lentement mettre moins;;;;;;;;;;;;;
02/06/2025;25;1;1;1,3;Pied;07:53;08:40;;;;0;;;Mortalité juste avant le tronçon (Mammifère, taille de raton laveur);;Technique = pour différencier drone, methode à pied ou Gopro;;;;;;;;;;;;;
02/06/2025;25;1;2;60;GoPro;06:05;06:17;;;;0;;;;;Temp_air = température en celsius et Couv_nuageuse en %;;;;;;;;;;;;;
02/06/2025;26;1;1;2;Pied;06:30;07:00;;;;0;;;;;Couv_nuage = couverture nuageuse le jour de l'inventaire;;;;;;;;;;;;;
02/06/2025;26;1;2;60;GoPro;05:30;05:48;11;0;;0;;;;;Obs = nbr de carcasses vues;;;;;;;;;;;;;
02/06/2025;48;1;e;2;Pied;07:10;07:44;;;;0;;;;;Initiales = initiales de ceux et celles qui étaient sur le terrain ce jour là;;;;;;;;;;;;;
02/06/2025;48;1;2;60;GoPro;05:57;06:25;;;;0;;;;;Nom_fichier = si Gopro ou drone;;;;;;;;;;;;;
03/06/2025;2;1;2;60;GoPro;06:50;06:55;;;;0;;;;;;;;;;;;;;;;;;
03/06/2025;2;1;1;1,5;Pied;06:00;06:40;10;0;;1;;;;;;;;;;;;;;;;;;
03/06/2025;14;1;1;;Pied;08:32;09:00;;;;0;;;;;;;;;;;;;;;;;;
03/06/2025;14;1;2;60;GoPro;07:36;07:49;;;;0;;;;;;;;;;;;;;;;;;
03/06/2025;39;1;0,5;7,2;Drone;08:00;08:15;;;;0;;DJI_202506030802_004_T39;;;;;;;;;;;;;;;;
