waypoint,site,sens_obs,rang_id,classe,ordre,famille,genre,espece,etat,emplacement,taille,date,heure,revu,mortalite,commentaires
MORT-RATO-T01,T01_E,E,classe,mammalia,carnivora,procyonidae,procyon,procyon_lotor,morceaux,NA,moyen,2025-06-09,07:55:19,0,1,
MORT-MUSA,T02,S,classe,mammalia,NA,NA,NA,NA,NA,accotement_gauche,petit,2025-07-22,05:40:52,0,1,Musaraigne
MORT-OISE-T02,T02,S,classe,aves,NA,NA,NA,NA,NA,gazon,petit,2025-06-03,06:31:02,0,1,Sur une piste cyclable sur le trottoir
MORT-OISE,T02,S,classe,aves,NA,NA,NA,NA,ecrase,accotement,petit,2025-07-22,05:46:16,0,1,
MORT-GREN,T02,S,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-22,05:55:26,0,1,LICL?
MORT-OISE,T03_E,E,classe,aves,NA,NA,NA,NA,NA,accotement,petit,2025-08-12,06:54:11,0,1,
MORT-RATON,T09_O,O,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,NA,NA,moyen,2025-07-07,07:59:55,0,1,
MORT-MAMM-morceaux,T09_O,O,classe,mammalia,NA,NA,NA,NA,morceaux,accotement,moyen,2025-07-07,07:42:45,0,1,
MORT-OISE,T09_O,O,classe,aves,NA,NA,NA,NA,NA,gazon,moyen,2025-08-12,05:32:27,0,1,Rapace
NA,T09_O,O,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,decompose,NA,moyen,2025-08-12,06:13:00,1,0,Déjà vu
morceaux,T14_E,E,espece,mammalia,rodentia,cricetidae,ondatra,ondatra_zibethicus,NA,accotement,petit,2025-07-21,07:23:45,0,1,Queue uniquement. Compté comme une mortalité.
MORT-MICR,T14_E,E,classe,mammalia,NA,NA,NA,NA,seche,accotement,petit,2025-07-21,07:44:39,0,1,Micromammifère
MORT-LAGO,T14_E,E,classe,mammalia,NA,NA,NA,NA,ecrase,accotement,moyen,2025-07-21,07:47:12,0,1,Lagomorphe. Probablement lapin.
MORT-GREN-T15,T15_O,O,ordre,amphibia,anura,NA,NA,NA,NA,accotement,petit,2025-07-08,05:52:36,0,1,
MORT-MAMM-MORCEAU-T15,T15_O,O,classe,mammalia,NA,NA,NA,NA,ecrase,accotement,moyen,2025-07-08,06:35:27,0,1,
NA,T15_O,O,classe,mammalia,NA,NA,NA,NA,morceaux,NA,petit,2025-08-12,07:50:00,1,0,Déjà vu.
MORT-MICROMAMM,T15_O,O,classe,mammalia,NA,NA,NA,NA,NA,droite,petit,2025-08-12,08:05:07,0,1,Micromammifere. 
STOC,T15_O,O,espece,reptilia,squamata,natricidae,storeria,storeria_occipitomaculata,NA,gazon,petit,2025-08-12,07:55:20,0,1,
STOC,T15_O,O,espece,reptilia,squamata,natricidae,storeria,storeria_occipitomaculata,NA,gazon,petit,2025-08-12,08:21:18,0,1,
NA,T15_O,O,espece,reptilia,squamata,natricidae,storeria,storeria_occipitomaculata,morceaux,gazon,petit,2025-08-12,08:21:18,0,1,1 seul point GPS pris pour les deux STOC. qui étaient l'une à côté de l'autre.
MORT-OISE,T15_O,O,classe,aves,NA,NA,NA,NA,NA,gazon,petit,2025-08-12,08:27:52,0,1,
MORT,T22_E,E,embranchement,NA,NA,NA,NA,NA,NA,milieu,moyen,2025-07-14,08:34:44,0,1,Taille moyenne. incertain si oiseau ou écureuil
