nom_fichier,date,troncon,minutage_obs,heure_obs,emplacement,taille_obs,couleur_obs,rang_id,classe,ordre,famille,genre,espece,traits_identification,etat,observateur,commentaires
GX010091_20250602_0605_T25_A30E.MP4,2025-06-02,T25_E,5:13,6:05,hors route,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,en vol
GX010092_20250602_0617_T25_A30O.MP4,2025-06-02,T25_O,17:19,6:17,hors route,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,en vol
GX010092_20250602_0617_T25_A30O.MP4,2025-06-02,T26_O,17:53,6:17,accotement,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,se pose au sol
GX010094_20250603_0650_T02_R229N.MP4,2025-06-03,T02_N,50:29:00,6:50,hors route,petit,brun,classe,aves,NA,NA,NA,NA,NA,vivant,EC,en vol
GX010096_20250603_0736_T14_R112E.MP4,2025-06-03,T14_E,36:20:00,7:36,hors route,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010096_20250603_0736_T14_R112E.MP4,2025-06-03,T14_E,37:11:00,7:37,hors route,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010096_20250603_0736_T14_R112E.MP4,2025-06-03,T14_E,37:11:00,7:37,hors route,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010102_20250609_0608_T28_R205S.MP4,2025-06-09,T28_S,8:14,6:08,hors route,moyen,brun,famille,aves,anseriformes,anatidae,NA,NA,NA,vivant,EC,au sol
GX010102_20250609_0608_T28_R205S.MP4,2025-06-09,T28_S,8:14,6:08,hors route,moyen,brun,famille,aves,anseriformes,anatidae,NA,NA,NA,vivant,EC,au sol
GX010104_20250609_0617_T01_A30E.MP4,2025-06-09,T01_E,17:26,6:17,accotement,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010105_20250609_0621_T62_A30E.MP4,2025-06-09,T62_E,21:09,6:21,accotement,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010105_20250609_0621_T62_A30E.MP4,2025-06-09,T62_E,21:17,6:21,accotement,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010106_20250609_0625_T62_A30O.MP4,2025-06-09,T62_O,25:51:00,6:25,hors route,moyen,noir,NA,NA,NA,NA,NA,NA,NA,vivant,EC,"pas sur que ce soit un animal. C'est au sol, pres des roseaux"
GX010113_20250616_0608_T20_A40O.MP4,2025-06-16,T20_O,8:36,6:08,accotement,moyen,gris,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,NA,mort,EC,Vérifié par EM 10/08/2026. identifié comme raton laveur.
GX010113_20250616_0553_T20_A40E.MP4,2025-06-16,T20_E,53:05:00,5:53,accotement,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010113_20250616_0553_T20_A40E.MP4,2025-06-16,T20_E,53:53:00,5:53,accotement,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010113_20250616_0553_T20_A40E.MP4,2025-06-16,T20_E,53:53:00,5:53,accotement,petit,noir,classe,aves,NA,NA,NA,NA,NA,vivant,EC,au sol
GX010123_20250701_0615_T65_A15N.MP4,2025-07-01,T65_N,0:50,6:15,accotement_droit,moyen,gris,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,NA,mort,EC,Vérifié par EM 10/08/2026. identifié comme raton laveur.
GX010135_20250707_0610_T03_A40O.MP4,2025-07-07,T03_O,10:51,6:10,accotement,moyen,gris,NA,NA,NA,NA,NA,NA,NA,dechet,EC," Vérifié par EM 10/08/2026, identifié comme déchet."
GX010137_20250707_0721_T09_A20O.MP4,2025-07-07,T09_O,22:19,7:22,hors route,moyen,gris,classe,aves,NA,NA,NA,NA,NA,vivant,EC,en vol
GX010137_20250707_0721_T09_A20O.MP4,2025-07-07,T09_O,23:06,7:23,trottoir,gros,vert,espece,mammalia,primates,hominidae,homo,homo_sapiens,NA,vivant,EC,promène son chien
GX010137_20250707_0721_T09_A20O.MP4,2025-07-07,T09_O,23:06,7:23,trottoir,moyen,brun,espece,mammalia,carnivora,canidae,canis,canis_familiaris,NA,vivant,EC,se fait promener
GX010137_20250707_0721_T09_A20O.MP4,2025-07-07,T09_O,23:11,7:23,hors route,moyen,gris,classe,aves,NA,NA,NA,NA,NA,vivant,EC,vole puis se pose sur lampadaire
GX010145_20250714_0754_T59_R158E.MP4,2025-07-14,T59_E,00:48,7:54,accotement_droit,petit,gris,classe,mammalia,NA,NA,NA,NA,NA,mort,EC,Vérifié par EM 10/08/2026. non identifié mais confirmé comme mortalité de mammifère.
GX010144_20250714_0750_T59_R158O.MP4,2025-07-14,T59_O,50:53:00,7:50,hors route,moyen,gris,classe,aves,NA,NA,NA,NA,NA,vivant,EC,en vol
GX010146_20250714_0922_T22_R158O.MP4,2025-07-14,T22_O,23:20,9:23,accotement,gros,blanc,espece,mammalia,primates,hominidae,homo,homo_sapiens,NA,vivant,EC,
GX010161_20250718_0521_T41_A10E.MP4,2025-07-18,T41_E,0:20,5:21,accotement_droit,moyen,noir,espece,mammalia,carnivora,mephitidae,mephitis,mephitis_mephitis,NA,mort,EC, Vérifié par EM 10/08/2026. identifié comme mouffette.
GX010176_20250728_0622_T40_A30O.MP4,2025-07-28,T40_O,0:17,6:22,accotement_droit,moyen,brun,espece,mammalia,rodentia,sciuridae,marmota,marmota_monax,NA,mort,EC,Vérifié par EM 10/08/2026. identifié comme marmotte
GX010195_20250804_0917_T52_A730E.MP4,2025-08-04,T52_E,17:41,9:17,accotement,moyen,gris,NA,NA,NA,NA,NA,dechet,NA,dechet,EC,"Vérifié par EM 10/08/2026, identifié comme déchet (ou du moins, trop ambigu pour être compté comme mortalité)."
GX010196_20250804_0923_T52_A730O.MP4,2025-08-04,T52_O,0:19,9:23,accotement_droit,moyen,noir,espece,mammalia,carnivora,mephitidae,mephitis,mephitis_mephitis,NA,mort,EC,Vérifié par EM 10/08/2026. identifié comme mouffette
