Date_inv,Troncons_ID,Passage_num,Distance ,Vitesse,Technique,Heure_debut,Heure_fin,Temp_air,Couv_nuage,Vent,Obs,Initiales,Nom_fichier,Commentaires,,Passage_num = pour le drone seulement, ID du passage faunique pr�vue de 1 � 4 ,,,,,,,
02/06/2025,25,1,1,1,3,Pied,07:53,08:40,,,,0,,,Mortalit� juste avant le tron�on (Mammif�re, taille de raton laveur),,Technique = pour diff�rencier drone, methode � pied ou Gopro,,,,,
02/06/2025,25,1,2,60,GoPro,06:05,06:17,,,,0,,,,,Temp_air = temp�rature en celsius et Couv_nuageuse en %,,,,,,,,
02/06/2025,26,1,1,2,Pied,06:30,07:00,,,,0,,,,,'Couv_nuage = couverture nuageuse le jour de l''inventaire',,,,,,,,
02/06/2025,26,1,2,60,GoPro,05:30,05:48,11,0,,0,,,,,Obs = nbr de carcasses vues,,,,,,,,
02/06/2025,48,1,e,2,Pied,07:10,07:44,,,,0,,,,,Initiales = initiales de ceux et celles qui �taient sur le terrain ce jour l�,,,,,,,,
02/06/2025,48,1,2,60,GoPro,05:57,06:25,,,,0,,,,,Nom_fichier = si Gopro ou drone,,,,,,,,
03/06/2025,2,1,2,60,GoPro,06:50,06:55,,,,0,,,,,,,,,,,,,
03/06/2025,2,1,1,1,5,Pied,06:00,06:40,10,0,,1,,,,,,,,,,,,
03/06/2025,14,1,1,,Pied,08:32,09:00,,,,0,,,,,,,,,,,,,
03/06/2025,14,1,2,60,GoPro,07:36,07:49,,,,0,,,,,,,,,,,,,
03/06/2025,39,1,0,5,7,2,Drone,08:00,08:15,,,,0,,DJI_202506030802_004_T39,,,,,,,,,
03/06/2025,39,1,2,60,GoPro,07:42,07:44,,,,0,,,,,,,,,,,,,
03/06/2025,41,1,1,60,GoPro,09:39,09:40,,,,0,,,,,,,,,,,,,
03/06/2025,42,1,1,60,GoPro,09:37,09:38,,,,0,,,,,,,,,,,,,
09/06/2025,1,1,1,1,3,Pied,07:26,08:15,,,,1,,,,,,,,,,,,
09/06/2025,1,1,2,60,GoPro,06:17,06:29,,,,0,,,,,,,,,,,,,
09/06/2025,28,1,1,1,3,Pied,06:35,07:18,,,,2,,,Chat domestique et oiseau non identifi�e (taille de merle),,,,,,,,,
09/06/2025,28,1,2,60,GoPro,06:08,06:10,20,50,,1,,,Au milieu de la route, probablement non visible sur la GoPro, mammif�re taille raton laveur,,,,,,,,
09/06/2025,62,1,1,3,Pied,08:22,08:45,,,,0,,,,,,,,,,,,,
09/06/2025,62,1,2,60,GoPro,06:21,06:25,,,,0,,,,,,,,,,,,,
10/06/2025,52,1,2,60,GoPro,07:35,07:39,,,,0,,,,,,,,,,,,,
10/06/2025,52,1,1,1,3,Pied,06:20,07:00,,,,0,,,,,,,,,,,,
10/06/2025,53,1,2,60,GoPro,07:26,07:30,,,,0,,,,,,,,,,,,,
10/06/2025,53,1,1,1,3,Pied,05:20,06:06,16,100,,0,,,,,,,,,,,,
