date,troncon,sens,inventaire_id,passage_num,distance,vitesse,technique,heure_debut,heure_fin,temp_air,couv_nuage,vent,initiales,nom_fichier
2025-06-09,T01_E,E,T01_E20250609pied,1,1,1.3,pied,7:26,8:15,NA,NA,NA,EM_CM,NA
2025-06-02,T25_E,E,T25_E20250602gopro,1,1,60,gopro,6:05,6:06,NA,NA,NA,EM_CM,GX010091_20250602_0605_T25_A30E
2025-06-02,T25_O,O,T25_O20250602gopro,1,1,60,gopro,6:17,6:18,NA,NA,NA,EM_CM,GX010092_20250602_0617_T25_A30O
2025-06-02,T26_E,E,T26_E20250602gopro,1,1,60,gopro,5:30,5:31,11,0,NA,EM_CM,GX010087_20250602_0530_T26_A20E
2025-06-02,T26_O,O,T26_O20250602gopro,1,1,60,gopro,5:48,5:49,NA,NA,NA,EM_CM,GX010089_20250602_0548_T26_A20O
2025-06-03,T02,S,T0220250603pied,1,1,1.5,pied,6:00,6:40,10,0,NA,EM_CM,NA
2025-06-02,T48_O,O,T48_O20250602gopro,1,1,60,gopro,6:25,6:26,NA,NA,NA,EM_CM,GX010093_20250602_0625_T48_A30O
2025-06-02,T48_E,E,T48_E20250602gopro,1,1,60,gopro,5:57,5:58,NA,NA,NA,EM_CM,GX010090_20250602_0557_T48_A30E
2025-06-03,T02,S,T0220250603gopro,1,1,60,gopro,6:55,6:56,NA,NA,NA,EM_CM,GX010095_20250603_0655_T02_R229S
2025-06-03,T02,N,T0220250603gopro,1,1,60,gopro,6:50,6:51,NA,NA,NA,EM_CM,GX010094_20250603_0650_T02_R229N
2025-07-22,T02,S,T0220250722pied,2,2,2.4,pied,5:36,6:23,NA,NA,NA,EM_CM,NA
2025-08-12,T03_E,E,T03_E20250812pied,1,1,1.5,pied,6:41,7:24,NA,NA,NA,EM_CM,NA
2025-06-03,T14_O,O,T14_O20250603gopro,1,1,60,gopro,7:49,7:50,NA,NA,NA,EM_CM,GX010099_20250603_0749_T14_R112O
2025-06-03,T14_E,E,T14_E20250603gopro,1,1,60,gopro,7:36,7:37,NA,NA,NA,EM_CM,GX010096_20250603_0736_T14_R112E
2025-06-03,T39_O,NA,T39_O20250603drone,1,0.5,7.2,drone,8:07,8:11,NA,NA,NA,EM_CM,DJI_202506030802_004_T39
2025-06-03,T39_E,E,T39_E20250603gopro,1,1,60,gopro,7:42,7:43,NA,NA,NA,EM_CM,GX010097_20250603_0742_T39_R112E
2025-06-03,T39_O,O,T39_O20250603gopro,1,1,60,gopro,7:44,7:45,NA,NA,NA,EM_CM,GX010098_20250603_0744_T39_R112O
2025-06-03,T41_O,O,T41_O20250603gopro,1,1,60,gopro,9:39,9:40,NA,NA,NA,EM_CM,NA
2025-06-03,T42_O,O,T42_O20250603gopro,1,1,60,gopro,9:37,9:38,NA,NA,NA,EM_CM,NA
2025-07-07,T09_O,E,T09_O20250707pied,1,1,0.8,pied,7:28,8:42,NA,NA,NA,EM_CM,NA
2025-06-09,T01_O,O,T01_O20250609gopro,1,1,60,gopro,6:29,6:30,NA,NA,NA,EM_CM,GX010107_20250609_0629_T01_A30O
2025-06-09,T01_E,E,T01_E20250609gopro,1,1,60,gopro,6:17,6:18,NA,NA,NA,EM_CM,GX010104_20250609_0617_T01_A30E
2025-08-12,T09_O,E,T09_O20250812pied,2,1,1,pied,5:10,6:13,22,0,NA,EM_CM,NA
2025-06-09,T28,N,T2820250609gopro,1,1,60,gopro,6:10,6:11,20,50,NA,EM_CM,GX010103_20250609_0610_T28_R205N
2025-06-09,T28,S,T2820250609gopro,1,1,60,gopro,6:08,6:09,NA,NA,NA,EM_CM,GX010102_20250609_0608_T28_R205S
2025-07-21,T14_E,E,T14_E20250721pied,2,1,1.1,pied,7:17,8:08,NA,NA,NA,EM_CM,NA
2025-06-09,T62_E,E,T62_E20250609gopro,1,1,60,gopro,6:21,6:22,NA,NA,NA,EM_CM,GX010105_20250609_0621_T62_A30E
2025-06-09,T62_O,O,T62_O20250609gopro,1,1,60,gopro,6:25,6:26,NA,NA,NA,EM_CM,GX010106_20250609_0625_T62_A30O
2025-06-10,T52_E,E,T52_E20250610gopro,1,1,60,gopro,7:35,7:36,NA,NA,NA,EM_CM,GX010110_20250610_0735_T52_A30E
2025-06-10,T52_O,O,T52_O20250610gopro,1,1,60,gopro,7:39,7:40,NA,NA,NA,EM_CM,GX010111_20250610_0739_T52_A30O
2025-06-03,T14_O,O,T14_O20250603pied,1,1,2.1,pied,8:32,9:00,NA,NA,NA,EM_CM,NA
2025-06-10,T53_O,O,T53_O20250610gopro,1,1,60,gopro,7:26,7:27,NA,NA,NA,EM_CM,GX010108_20250610_0726_T53_A30O
2025-06-10,T53_E,E,T53_E20250610gopro,1,1,60,gopro,7:30,7:31,NA,NA,NA,EM_CM,GX010109_20250610_0730_T53_A30E
2025-07-08,T15_O,O,T15_O20250708pied,1,1,0.7,pied,5:36,7:00,NA,NA,NA,EM_CM,NA
2025-06-16,T20_O,NA,T20_O20250616drone,1,0.5,7.2,drone,6:37,6:41,11,0,13,EM_CM,DJI_202506160649_006_T-20
2025-06-16,T20_E,E,T20_E20250616gopro,1,1,60,gopro,5:53,5:54,NA,NA,NA,EM_CM,GX010113_20250616_0553_T20_A40E
2025-06-16,T20_O,O,T20_O20250616gopro,1,1,60,gopro,6:08,6:09,NA,NA,NA,EM_CM,GX010114_20250616_0608_T20_A40O
2025-06-16,T57_E,NA,T57_E20250616drone,1,0.5,7.2,drone,8:50,8:54,NA,NA,NA,EM_CM,
2025-06-16,T57_O,O,T57_O20250616gopro,1,1,60,gopro,7:48,7:49,NA,NA,NA,EM_CM,GX010115_20250616_0748_T57_A640O
2025-06-16,T57_E,E,T57_E20250616gopro,1,1,60,gopro,7:58,7:59,NA,NA,NA,EM_CM,GX010116_20250616_0758_T57_A640E
2025-06-25,T35,NA,T3520250625drone,1,0.5,7.2,drone,7:33,8:00,23,75,6,EM_CM,DJI_202506250736_022_T35
2025-06-25,T35,O,T3520250625gopro,1,1,60,gopro,7:24,7:25,NA,NA,NA,EM_CM,GX010122_20250625_0724T35_R344O
2025-06-25,T35,E,T3520250625gopro,1,1,60,gopro,7:20,7:21,NA,NA,NA,EM_CM,GX010121_20250625_0720_T35_R344E
2025-06-25,T36,NA,T3620250625drone,1,0.5,7.2,drone,6:30,6:59,NA,NA,4,EM_CM,DJI_202506250651_021_T36vrai
2025-06-25,T36,E,T3620250625gopro,1,1,60,gopro,6:18,6:19,21,15,NA,EM_CM,GX010119_20250625_0618_T36_R344E
2025-06-25,T36,O,T3620250625gopro,1,1,60,gopro,6:21,6:22,NA,NA,NA,EM_CM,GX010120_20250625_0621_T36_R344O
2025-08-12,T15_O,O,T15_O20250812pied,2,1,1.3,pied,7:45,8:30,NA,NA,NA,EM_CM,NA
2025-07-01,T61_S,S,T61_S20250701gopro,1,1,60,gopro,8:02,8:03,NA,NA,NA,EM_CM,GX010126_20250701_0802_T61_A15S
2025-07-01,T61_N,N,T61_N20250701gopro,1,1,60,gopro,7:58,7:59,NA,NA,NA,EM_CM,GX010125_20250701_0759_T61_A15N
2025-07-14,T22_E,E,T22_E20250714pied,1,1,0.8,pied,7:58,9:13,NA,NA,NA,EM_CM,NA
2025-07-01,T65_S,S,T65_S20250701gopro,1,1,60,gopro,6:33,6:34,22,100,NA,EM_CM,GX010124_20250701_0633_T65_A15S
2025-07-01,T65_N,N,T65_N20250701gopro,1,1,60,gopro,6:15,6:16,NA,NA,NA,EM_CM,GX010123_20250701_0615_T65_A15N
2025-07-02,T41_O,O,T41_O20250702gopro,1,1,60,gopro,7:14,7:15,NA,NA,NA,EM_CM,GX010131_20250702_0714_T41_A10O
2025-07-02,T41_E,E,T41_E20250702gopro,1,1,60,gopro,7:59,8:00,NA,NA,NA,EM_CM,GX010132_20250702_0759_T41_A10E
2025-07-02,T41_O,NA,T41_O20250702drone,1,0.5,7.2,drone,7:34,7:45,NA,NA,22,EM_CM,DJI_202507020729_024_Mortalite-A10-SE-1
2025-07-02,T42_O,O,T42_O20250702gopro,1,1,60,gopro,7:12,7:13,NA,NA,NA,EM_CM,GX010130_20250702_0712_T42_A10O
2025-07-02,T42_E,E,T42_E20250702gopro,1,1,60,gopro,7:00,7:01,NA,NA,NA,EM_CM,GX010129_20250702_0700_T42_A10E
2025-07-02,T42_O,NA,T42_O20250702drone,1,0.5,7.2,drone,6:24,6:28,20,2,18,EM_CM,DJI_202507020633_023_Mortalite-A10-NE-3
2025-07-07,T03_E,NA,T03_E20250707drone,1,0.5,7.2,drone,6:43,6:47,NA,NA,15,EM_CM,DJI_202507070630_025_T03
2025-07-07,T03_E,E,T03_E20250707gopro,1,1,60,gopro,6:05,6:06,19,100,NA,EM_CM,GX010134_20250707_0605_T03_A40E
2025-07-07,T03_O,O,T03_O20250707gopro,1,1,60,gopro,6:10,6:11,NA,NA,NA,EM_CM,GX010135_20250707_0610_T03_A40O
2025-08-13,T22_E,E,T22_E20250813pied,2,1,0.8,pied,7:37,8:54,NA,NA,NA,EM_CM,NA
