troncon_id,visites,type_method,cat
1,2,Drone+GoPro+Pied,2
2,2,GoPro+Pied,0
3,2,Drone+GoPro+Pied,0
9,2,GoPro+Pied,0
14,2,GoPro+Pied,0
15,2,GoPro+Pied,0
20,2,Drone+GoPro,0
22,2,GoPro+Pied,2
25,2,Drone+GoPro+Pied,1
26,2,GoPro+Pied,0
28,2,Drone+GoPro+Pied,0
30,2,Drone+GoPro+Pied,0
31,2,Drone+GoPro+Pied,1
35,2,Drone+GoPro+Pied,1
36,2,Drone+GoPro+Pied,2
39,2,Drone+GoPro+Pied,1
40,2,Drone+GoPro,2
41,2,Drone+GoPro+Pied,2
42,2,Drone+GoPro+Pied,2
45,2,GoPro+Pied,2
47,2,Drone+GoPro,2
48,2,GoPro+Pied,1
49,2,Drone+GoPro+Pied,2
52,2,GoPro+Pied,2
53,2,Drone+GoPro+Pied,1
57,2,Drone+GoPro,2
59,2,GoPro+Pied,1
61,2,Drone+GoPro+Pied,2
62,2,Drone+GoPro+Pied,1
65,2,Drone+GoPro+Pied,1
