DATE;MILIEU HUMIDE;EQUIPE;ESPECE;STADE;NOMBRE;COMMENTAIRES;;;;;,,,
05/06/2025;MH-T01;1;Anura;tetard;230;Espèce à déterminer (photos + vidéos). Certains très avancés dans leur métamorphose. ;;;;;,,,
05/06/2025;MH-T01;1;Anura;tetard;250;Espèce à déterminer (photos + vidéos), ind. mourants;;;;;,,
05/06/2025;MH-T01;2;LICL;adulte;3;;;;;;,,,
05/06/2025;MH-T01;2;Anura;tetard;300;;;;;;,,,
05/06/2025;MH-T01;2;THSI;adulte;1;;;;;;,,,
05/06/2025;MH-T52;1;petit poisson sp;NA;20;;;;;;,,,
05/06/2025;MH-T52;2;petit poisson sp;NA;20;;;;;;,,,
05/06/2025;MH-T65;1;LICL;adulte;1;La seule identifiée physiquement avec certitude;;;;;,,,
05/06/2025;MH-T65;1;LICL;adulte;10;seulement entendues, au moins dix ind.;;;;;,,
05/06/2025;MH-T65;1;Anura;adulte;0;un chanteur;;;;;,,,
2025-05-06;MH-T65;1;Anura;adulte;10;'Nombreux individus entraperçus nageant ou sautant à l''''eau';;;;;''',,,'
05/06/2025;MH-T65;1;petit poisson sp;NA;20;;;;;;,,,
05/06/2025;MH-T65;1;gros poisson sp;NA;1;Environ 10 cm, voir photos pour ID;;;;;,,
05/06/2025;MH-T65;2;ANAM;adulte;1;chant;;;;;,,,
05/06/2025;MH-T65;2;LICL;adulte;3;;;;;;,,,
05/06/2025;MH-T65;2;Anura;métamorphe;1;;;;;;,,,
05/06/2025;MH-T65;2;Anura;adulte;1;;;;;;,,,
11/06/2025;MH-T47;1;Indetermine;oeuf;25;Sous souche de bois en décomposition. 3 mm, opaques, jaunâtres, pas de masse gluante.;;;;;
11/06/2025;MH-T47;1;Indetermine;oeuf;75;Sous souche de bois en décomposition. 1-2 mm, translucides avec noyau blanc, forment une masse gluante.;;;;;,
11/06/2025;MH-T47;1;ANAM;adulte;2;;;;;;,,,
11/06/2025;MH-T47;1;LISY;adulte;1;;;;;;,,,
11/06/2025;MH-T47;1;Anura;tetard;10;Gros olivâtres.;;;;;,,,
2025-11-06;MH-T47;1;BOLE;adulte;1;'Butor d''''Amérique';;;;;''',,,'
11/06/2025;MH-T47;2;LICL;adulte;4;;;;;;,,,
11/06/2025;MH-T47;2;Anura;tetard;20;;;;;;,,,
11/06/2025;MH-T49;1 et 2;Anura;tetard;1000;Présence de plusieurs milliers de tetards dans une longue bande le long de la rivière;;;;;,,,
11/06/2025;MH-T49;1 et 2;LICL;adulte;4;;;;;;,,,
11/06/2025;MH-T49;1 et 2;Anura;adulte;3;Non identifié avec certitude (fuite);;;;;,,,
11/06/2025;MH-T49;1;ODVI;adulte;1;Cerf. forts signes de présence de cerfs en général.;;;;;,,,
2025-12-06;MH-T41-1;1 et 2 ;NA;NA;NA;'Milieu envahi de phragmites et très difficile d''''accès. Aucune observation d''''herpétofaune dans les parcelles humides visitées.';;;;;''',,,'
12/06/2025;MH-T41-2;1 et 2 ;LICL;adulte;1;Au moins 1 ind. entendu. Beaucoup de LIPI (env. 15 ind. ainsi que leurs oeufs, env. 420) ont été observées dans le sentier de quatre-roues menant au milieu.;;;;;,,
